Player,Club,Age,Position,Nation,Value,Contract Years Left,League
Steven Bergwijn,Tottenham Hotspur,23,attack,Netherlands,19800000,4,Premier League
Jesse Lingard,Manchester United,28,midfield,England,19800000,1,Premier League
Robin Le Normand,Real Sociedad,24,Defender,France,19800000,3,La Liga
Fred,Manchester United,28,midfield,Brazil,19800000,2,Premier League
Callum Wilson,"All information about Newcastle (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",29,attack,England,19800000,3,UNKNOWN
Alassane Plea,Borussia Mönchengladbach,28,attack,France,19800000,2,Bundesliga
Arkadiusz Milik,Olympique Marseille,27,attack,Poland,19800000,fail,Ligue 1
Dean Henderson,Manchester United,24,Goalkeeper,England,19800000,4,Premier League
Dwight McNeil,Burnley FC,21,attack,England,19800000,3,Premier League
Christoph Baumgartner,TSG 1899 Hoffenheim,22,midfield,Austria,19800000,4,Bundesliga
Leandro Paredes,Paris Saint-Germain,27,midfield,Argentina,19800000,2,Ligue 1
Danny Ings,Aston Villa,29,attack,England,19800000,3,Premier League
Sasa Kalajdzic,VfB Stuttgart,24,attack,Austria,19800000,2,Bundesliga
Kasper Dolberg,OGC Nice,23,attack,Denmark,19800000,3,Ligue 1
Paco Alcácer,Villarreal CF,28,attack,Spain,19800000,4,La Liga
Matty Cash,Aston Villa,24,Defender,England,19800000,4,Premier League
Ramy Bensebaini,Borussia Mönchengladbach,26,Defender,Algeria,19800000,2,Bundesliga
Nicolás González,ACF Fiorentina,23,attack,Argentina,19800000,5,Serie A
Joachim Andersen,Crystal Palace,25,Defender,Denmark,19800000,5,Premier League
Allan,Everton FC,30,midfield,Brazil,19800000,2,Premier League
Alex Iwobi,Everton FC,25,attack,Nigeria,19800000,3,Premier League
Jonathan Tah,Bayer 04 Leverkusen,25,Defender,Germany,19800000,2,Bundesliga
Saïd Benrahma,West Ham United,26,attack,Algeria,19800000,5,Premier League
Orel Mangala,VfB Stuttgart,23,midfield,Belgium,19800000,3,Bundesliga
Nahitan Nández,"All information about Cagliari Calcio (Serie A) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",25,midfield,Uruguay,19800000,3,UNKNOWN
Guido Rodríguez,Real Betis Balompié,27,midfield,Argentina,19800000,3,La Liga
Berat Djimsiti,Atalanta BC,28,Defender,Albania,19800000,2,Serie A
Manuel Lazzari,SS Lazio,27,midfield,Italy,18900000,3,Serie A
Yussuf Poulsen,RB Leipzig,27,attack,Denmark,18900000,3,Bundesliga
Diego Llorente,Leeds United,28,Defender,Spain,18000000,3,Premier League
Yusuf Yazici,LOSC Lille,24,midfield,Turkey,18000000,3,Ligue 1
Jérémie Boga,US Sassuolo,24,attack,Cote d'Ivoire,18000000,1,Serie A
Alex Meret,SSC Napoli,24,Goalkeeper,Italy,18000000,2,Serie A
Illan Meslier,Leeds United,21,Goalkeeper,France,18000000,5,Premier League
Danilo Pereira,Paris Saint-Germain,29,midfield,Portugal,18000000,4,Ligue 1
Zeki Celik,LOSC Lille,24,Defender,Turkey,18000000,2,Ligue 1
Luka Jovic,Real Madrid,23,attack,Serbia,18000000,4,La Liga
André Gomes,Everton FC,28,midfield,Portugal,18000000,3,Premier League
Neal Maupay,Brighton &amp; Hove Albion,25,attack,France,18000000,2,Premier League
Emil Forsberg,RB Leipzig,29,attack,Sweden,18000000,4,Bundesliga
Hamed Junior Traorè,US Sassuolo,21,midfield,Cote d'Ivoire,18000000,3,Serie A
Harry Winks,Tottenham Hotspur,25,midfield,England,18000000,3,Premier League
Eric García,FC Barcelona,20,Defender,Spain,18000000,5,La Liga
Suso,Sevilla FC,27,attack,Spain,18000000,4,La Liga
Gerson,Olympique Marseille,24,midfield,Brazil,18000000,5,Ligue 1
Julian Brandt,Borussia Dortmund,25,midfield,Germany,18000000,3,Bundesliga
Miralem Pjanić,FC Barcelona,31,midfield,Bosnia-Herzegovina,18000000,3,La Liga
Moussa Dembélé,Olympique Lyon,25,attack,France,18000000,2,Ligue 1
Mason Holgate,Everton FC,24,Defender,England,18000000,4,Premier League
Corentin Tolisso,Bayern Munich,27,midfield,France,18000000,1,Bundesliga
Takehiro Tomiyasu,Arsenal FC,22,Defender,Japan,18000000,4,Premier League
Yerry Mina,Everton FC,26,Defender,Colombia,18000000,2,Premier League
Mikkel Damsgaard,UC Sampdoria,21,attack,Denmark,18000000,3,Serie A
Ángel Di María,Paris Saint-Germain,33,attack,Argentina,18000000,1,Ligue 1
Musa Barrow,Bologna FC 1909,22,attack,The Gambia,18000000,3,Serie A
Kieran Trippier,Atlético de Madrid,30,Defender,England,18000000,2,La Liga
Alex Sandro,Juventus FC,30,Defender,Brazil,18000000,2,Serie A
Danilo,Juventus FC,30,Defender,Brazil,18000000,3,Serie A
Danilo,Juventus FC,30,Defender,Brazil,18000000,1,Serie A
Danilo,Parma Calcio 1913,37,Defender,Brazil,540000,3,Serie A
Danilo,Parma Calcio 1913,37,Defender,Brazil,540000,1,Serie A
Julian Draxler,Paris Saint-Germain,27,attack,Germany,18000000,3,Ligue 1
Lucas Alario,Bayer 04 Leverkusen,28,attack,Argentina,18000000,3,Bundesliga
Tyler Adams,RB Leipzig,22,midfield,United States,18000000,4,Bundesliga
Jordi Alba,FC Barcelona,32,Defender,Spain,18000000,3,La Liga
Alex Telles,Manchester United,28,Defender,Brazil,18000000,3,Premier League
Mattéo Guendouzi,Olympique Marseille,22,midfield,France,18000000,1,Ligue 1
Bertrand Traoré,Aston Villa,25,attack,Burkina Faso,18000000,3,Premier League
Renato Tapia,Celta de Vigo,26,midfield,Peru,18000000,3,La Liga
Marc Cucurella,Brighton &amp; Hove Albion,23,midfield,Spain,18000000,5,Premier League
Kelechi Iheanacho,"All information about Leicester (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",24,attack,Nigeria,18000000,3,UNKNOWN
Mauro Arambarri,Getafe CF,25,midfield,Uruguay,18000000,2,La Liga
Sergio Canales,Real Betis Balompié,30,midfield,Spain,18000000,2,La Liga
Portu,Real Sociedad,29,attack,Spain,18000000,3,La Liga
Eberechi Eze,Crystal Palace,23,midfield,England,18000000,4,Premier League
Ché Adams,Southampton FC,25,attack,Scotland,18000000,3,Premier League
Tiemoué Bakayoko,AC Milan,27,midfield,France,18000000,2,Serie A
Álex Remiro,Real Sociedad,26,Goalkeeper,Spain,18000000,2,La Liga
Alessio Cragno,"All information about Cagliari Calcio (Serie A) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",27,Goalkeeper,Italy,18000000,3,UNKNOWN
Unai Simón,Athletic Bilbao,24,Goalkeeper,Spain,18000000,4,La Liga
Igor Zubeldia,Real Sociedad,24,midfield,Spain,18000000,3,La Liga
Benjamin Mendy,Manchester City,27,Defender,France,18000000,2,Premier League
Yeray Álvarez,Athletic Bilbao,26,Defender,Spain,18000000,5,La Liga
Martín Zubimendi,Real Sociedad,22,midfield,Spain,18000000,4,La Liga
Unai Núñez,Athletic Bilbao,24,Defender,Spain,18000000,4,La Liga
Alfonso Pedraza,Villarreal CF,25,Defender,Spain,18000000,4,La Liga
Iñigo Martínez,Athletic Bilbao,30,Defender,Spain,18000000,2,La Liga
Matteo Pessina,Atalanta BC,24,midfield,Italy,18000000,4,Serie A
Jordan Henderson,Liverpool FC,31,midfield,England,18000000,4,Premier League
Samuel Chukwueze,Villarreal CF,22,attack,Nigeria,18000000,2,La Liga
Ross Barkley,Chelsea FC,27,midfield,England,18000000,2,Premier League
Lucas Torreira,ACF Fiorentina,25,midfield,Uruguay,18000000,1,Serie A
Juan Musso,Atalanta BC,27,Goalkeeper,Argentina,18000000,4,Serie A
Gaetano Castrovilli,ACF Fiorentina,24,midfield,Italy,18000000,3,Serie A
Maximilian Arnold,VfL Wolfsburg,27,midfield,Germany,17100000,5,Bundesliga
Josko Gvardiol,RB Leipzig,19,Defender,Croatia,17100000,5,Bundesliga
Joakim Maehle,Atalanta BC,24,Defender,Denmark,17100000,4,Serie A
Manuel Neuer,Bayern Munich,35,Goalkeeper,Germany,16200000,2,Bundesliga
Rob Holding,Arsenal FC,25,Defender,England,16200000,3,Premier League
Tom Davies,Everton FC,23,midfield,England,16200000,2,Premier League
Dennis Praet,Torino FC,27,midfield,Belgium,16200000,1,Serie A
Alex Oxlade-Chamberlain,Liverpool FC,28,midfield,England,16200000,2,Premier League
Joel Matip,Liverpool FC,30,Defender,Cameroon,16200000,3,Premier League
Emile Smith-Rowe,Arsenal FC,21,midfield,England,16200000,5,Premier League
Kerem Demirbay,Bayer 04 Leverkusen,28,midfield,Germany,16200000,3,Bundesliga
Isco,Real Madrid,29,midfield,Spain,16200000,1,La Liga
Sander Berge,Sheffield United,23,midfield,Norway,16200000,3,Premier League
Martin Hinteregger,Eintracht Frankfurt,28,Defender,Austria,16200000,3,Bundesliga
Nadiem Amiri,Bayer 04 Leverkusen,24,midfield,Germany,16200000,3,Bundesliga
Willian José,Real Betis Balompié,29,attack,Brazil,16200000,1,La Liga
Ayoze Pérez,"All information about Leicester (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",28,attack,Spain,16200000,2,UNKNOWN
Axel Disasi,AS Monaco,23,Defender,France,16200000,4,Ligue 1
Bono,Sevilla FC,30,Goalkeeper,Morocco,16200000,3,La Liga
Hans Hateboer,Atalanta BC,27,Defender,Netherlands,16200000,2,Serie A
Florian Grillitsch,TSG 1899 Hoffenheim,26,midfield,Austria,16200000,1,Bundesliga
Issa Diop,West Ham United,24,Defender,France,16200000,2,Premier League
Dan-Axel Zagadou,Borussia Dortmund,22,Defender,France,16200000,1,Bundesliga
Pablo Fornals,West Ham United,25,midfield,Spain,16200000,3,Premier League
Luiz Felipe,SS Lazio,24,Defender,Brazil,16200000,1,Serie A
Gelson Martins,AS Monaco,26,attack,Portugal,16200000,3,Ligue 1
João Pedro,"All information about Cagliari Calcio (Serie A) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",29,attack,Brazil,16200000,2,UNKNOWN
Mohamed Simakan,RB Leipzig,21,Defender,France,16200000,5,Bundesliga
Riqui Puig,FC Barcelona,22,midfield,Spain,16200000,2,La Liga
Sergio Agüero,FC Barcelona,33,attack,Argentina,16200000,2,La Liga
Sergi Roberto,FC Barcelona,29,midfield,Spain,16200000,1,La Liga
Youssoufa Moukoko,Borussia Dortmund,16,attack,Germany,16200000,2,Bundesliga
Bryan Cristante,AS Roma,26,midfield,Italy,16200000,3,Serie A
Krépin Diatta,AS Monaco,22,attack,Senegal,16200000,4,Ligue 1
Nathan Redmond,Southampton FC,27,attack,England,16200000,2,Premier League
Rayan Aït Nouri,Wolverhampton Wanderers,20,Defender,France,16200000,5,Premier League
Tariq Lamptey,Brighton &amp; Hove Albion,20,Defender,England,16200000,4,Premier League
Adam Webster,Brighton &amp; Hove Albion,26,Defender,England,16200000,5,Premier League
Ruben Loftus-Cheek,Chelsea FC,25,midfield,England,16200000,3,Premier League
Ryan Sessegnon,Tottenham Hotspur,21,midfield,England,16200000,4,Premier League
Daniel James,Leeds United,23,attack,Wales,16200000,5,Premier League
Rodrigo,Leeds United,30,attack,Spain,16200000,3,Premier League
Djené,Getafe CF,29,Defender,Togo,16200000,2,La Liga
Adam Armstrong,Southampton FC,24,attack,England,16200000,4,Premier League
David de Gea,Manchester United,30,Goalkeeper,Spain,16200000,2,Premier League
Cengiz Ünder,Olympique Marseille,24,attack,Turkey,16200000,1,Ligue 1
Jannik Vestergaard,"All information about Leicester (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",29,Defender,Denmark,16200000,3,UNKNOWN
Gareth Bale,Real Madrid,32,attack,Wales,16200000,1,La Liga
Alexis Saelemaekers,AC Milan,22,attack,Belgium,16200000,3,Serie A
Amad Diallo,Manchester United,19,attack,Cote d'Ivoire,16200000,4,Premier League
William Saliba,Olympique Marseille,20,Defender,France,16200000,1,Ligue 1
Kyle Walker-Peters,Southampton FC,24,Defender,England,16200000,4,Premier League
Miguel Almirón,"All information about Newcastle (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",27,midfield,Paraguay,15750000,3,UNKNOWN
Gonzalo Montiel,Sevilla FC,24,Defender,Argentina,15300000,5,La Liga
James Justin,"All information about Leicester (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",23,Defender,England,15300000,3,UNKNOWN
Joelinton,"All information about Newcastle (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",25,attack,Brazil,15300000,4,UNKNOWN
Harry Wilson,Fulham FC,24,attack,Wales,15300000,5,Premier League
Maxence Caqueret,Olympique Lyon,21,midfield,France,15300000,2,Ligue 1
Pierluigi Gollini,Tottenham Hotspur,26,Goalkeeper,Italy,15300000,1,Premier League
Matt Targett,Aston Villa,25,Defender,England,15300000,4,Premier League
Leandro Trossard,Brighton &amp; Hove Albion,26,attack,Belgium,15300000,2,Premier League
Robin Koch,Leeds United,25,Defender,Germany,15300000,3,Premier League
Alphonse Areola,West Ham United,28,Goalkeeper,France,15300000,1,Premier League
Odsonne Edouard,Crystal Palace,23,attack,France,15300000,4,Premier League
Rafael Borré,Eintracht Frankfurt,25,attack,Colombia,15300000,4,Bundesliga
Elif Elmas,SSC Napoli,21,midfield,North Macedonia,15300000,4,Serie A
Teun Koopmeiners,Atalanta BC,23,midfield,Netherlands,14850000,4,Serie A
Bartlomiej Dragowski,ACF Fiorentina,24,Goalkeeper,Poland,14400000,2,Serie A
Willi Orban,RB Leipzig,28,Defender,Hungary,14400000,4,Bundesliga
Jerry St. Juste,1.FSV Mainz 05,24,Defender,Netherlands,14400000,2,Bundesliga
Youssouf Fofana,AS Monaco,22,midfield,France,14400000,3,Ligue 1
Borna Sosa,VfB Stuttgart,23,Defender,Croatia,14400000,4,Bundesliga
Jonas Hofmann,Borussia Mönchengladbach,29,attack,Germany,14400000,2,Bundesliga
Ben Davies,Tottenham Hotspur,28,Defender,Wales,14400000,3,Premier League
Ben Davies,Tottenham Hotspur,28,Defender,Wales,14400000,1,Premier League
Ben Davies,Sheffield United,26,Defender,England,2700000,3,Premier League
Ben Davies,Sheffield United,26,Defender,England,2700000,1,Premier League
Aleksandar Mitrovic,Fulham FC,26,attack,Serbia,14400000,5,Premier League
Andy Delort,OGC Nice,29,attack,Algeria,14400000,3,Ligue 1
Diego Demme,SSC Napoli,29,midfield,Germany,14400000,3,Serie A
Morgan Sanson,Aston Villa,27,midfield,France,14400000,4,Premier League
Sofiane Diop,AS Monaco,21,midfield,France,14400000,5,Ligue 1
Denzel Dumfries,Inter Milan,25,midfield,Netherlands,14400000,4,Serie A
Matt Doherty,Tottenham Hotspur,29,Defender,Ireland,14400000,3,Premier League
Léo Dubois,Olympique Lyon,26,Defender,France,14400000,3,Ligue 1
Breel Embolo,Borussia Mönchengladbach,24,attack,Switzerland,14400000,2,Bundesliga
Roland Sallai,SC Freiburg,24,attack,Hungary,14400000,fail,Bundesliga
Ainsley Maitland-Niles,Arsenal FC,24,midfield,England,14400000,2,Premier League
Juan Bernat,Paris Saint-Germain,28,Defender,Spain,14400000,4,Ligue 1
Alexander Sörloth,Real Sociedad,25,attack,Norway,14400000,1,La Liga
Eddie Nketiah,Arsenal FC,22,attack,England,14400000,1,Premier League
Joe Willock,"All information about Newcastle (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",22,midfield,England,14400000,6,UNKNOWN
Ohis Felix Uduokhai,FC Augsburg,23,Defender,Germany,14400000,3,Bundesliga
Lucas Tousart,Hertha BSC,24,midfield,France,14400000,4,Bundesliga
Mahmoud Dahoud,Borussia Dortmund,25,midfield,Germany,14400000,2,Bundesliga
Erik Lamela,Sevilla FC,29,attack,Argentina,14400000,3,La Liga
Ihlas Bebou,TSG 1899 Hoffenheim,27,attack,Togo,14400000,2,Bundesliga
Reinier,Borussia Dortmund,19,midfield,Brazil,14400000,1,Bundesliga
Juan Cuadrado,Juventus FC,33,Defender,Colombia,14400000,1,Serie A
Ander Barrenetxea,Real Sociedad,19,attack,Spain,13500000,6,La Liga
José Campaña,Levante UD,28,midfield,Spain,13500000,2,La Liga
Yunus Musah,Valencia CF,18,attack,United States,13500000,5,La Liga
Carles Aleñá,Getafe CF,23,midfield,Spain,13500000,5,La Liga
Luis Suárez,Atlético de Madrid,34,attack,Uruguay,13500000,1,La Liga
Luis Suárez,Atlético de Madrid,34,attack,Uruguay,13500000,4,La Liga
Luis Suárez,Granada CF,23,attack,Colombia,9000000,1,La Liga
Luis Suárez,Granada CF,23,attack,Colombia,9000000,4,La Liga
Yeremi Pino,Villarreal CF,18,attack,Spain,13500000,3,La Liga
Krzysztof Piatek,Hertha BSC,26,attack,Poland,13500000,4,Bundesliga
Rafinha,Paris Saint-Germain,28,midfield,Brazil,13500000,2,Ligue 1
Enis Bardhi,Levante UD,26,midfield,North Macedonia,13500000,1,La Liga
Gabriel Paulista,Valencia CF,30,Defender,Brazil,13500000,3,La Liga
Álex Berenguer,Athletic Bilbao,26,attack,Spain,13500000,3,La Liga
Lucas Vázquez,Real Madrid,30,attack,Spain,13500000,3,La Liga
Moussa Niakhaté,1.FSV Mainz 05,25,Defender,France,13500000,2,Bundesliga
William Carvalho,Real Betis Balompié,29,midfield,Portugal,13500000,2,La Liga
Santi Mina,Celta de Vigo,25,attack,Spain,13500000,3,La Liga
Jorge de Frutos,Levante UD,24,attack,Spain,13500000,4,La Liga
Marcos Acuña,Sevilla FC,29,Defender,Argentina,13500000,3,La Liga
Nemanja Maksimovic,Getafe CF,26,midfield,Serbia,13500000,3,La Liga
Djibril Sow,Eintracht Frankfurt,24,midfield,Switzerland,13500000,3,Bundesliga
Jonny Castro,Wolverhampton Wanderers,27,Defender,Spain,13500000,4,Premier League
Thomas Delaney,Sevilla FC,29,midfield,Denmark,13500000,4,La Liga
Pervis Estupiñán,Villarreal CF,23,Defender,Ecuador,13500000,6,La Liga
Aritz Elustondo,Real Sociedad,27,Defender,Spain,13500000,3,La Liga
Geoffrey Kondogbia,Atlético de Madrid,28,midfield,Central African Republic,13500000,3,La Liga
Idrissa Gana Gueye,Paris Saint-Germain,31,midfield,Senegal,13500000,2,Ligue 1
Luca Waldschmidt,VfL Wolfsburg,25,attack,Germany,13500000,4,Bundesliga
Arnaut Danjuma,Villarreal CF,24,attack,Netherlands,13500000,5,La Liga
Eric Bailly,Manchester United,27,Defender,Cote d'Ivoire,13500000,3,Premier League
Henrikh Mkhitaryan,AS Roma,32,midfield,Armenia,13500000,1,Serie A
Gonzalo Villar,AS Roma,23,midfield,Spain,13500000,3,Serie A
Andrea Petagna,SSC Napoli,26,attack,Italy,13500000,3,Serie A
Riccardo Orsolini,Bologna FC 1909,24,attack,Italy,13500000,3,Serie A
Gaëtan Laborde,Stade Rennais FC,27,attack,France,13500000,4,Ligue 1
Sean Longstaff,"All information about Newcastle (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",23,midfield,England,13500000,1,UNKNOWN
Federico Bernardeschi,Juventus FC,27,attack,Italy,13500000,1,Serie A
Ibrahima Diallo,Southampton FC,22,midfield,France,13500000,3,Premier League
Roberto Gagliardini,Inter Milan,27,midfield,Italy,13500000,2,Serie A
Harvey Elliot,Liverpool FC,18,attack,England,13500000,5,Premier League
Brahim Díaz,AC Milan,22,midfield,Spain,13500000,2,Serie A
Benjamin Bourigeaud,Stade Rennais FC,27,midfield,France,13500000,2,Ligue 1
Nick Pope,Burnley FC,29,Goalkeeper,England,13500000,2,Premier League
